area,cases,date
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1251,2021-02-18
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,5752,2021-02-18
CITY OF GOLETA,1616,2021-02-18
COMMUNITY OF ISLA VISTA,1180,2021-02-18
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,1061,2021-02-18
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",919,2021-02-18
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,3263,2021-02-18
FEDERAL PRISON IN LOMPOC,1086,2021-02-18
CITY OF SANTA MARIA,10540,2021-02-18
COMMUNITY OF ORCUTT,1632,2021-02-18
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",1210,2021-02-18
Out of County,0,2021-02-18
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1246,2021-02-17
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,5718,2021-02-17
CITY OF GOLETA,1612,2021-02-17
COMMUNITY OF ISLA VISTA,1174,2021-02-17
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,1056,2021-02-17
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",912,2021-02-17
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,3258,2021-02-17
FEDERAL PRISON IN LOMPOC,1086,2021-02-17
CITY OF SANTA MARIA,10506,2021-02-17
COMMUNITY OF ORCUTT,1626,2021-02-17
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",1206,2021-02-17
Out of County,0,2021-02-17
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1241,2021-02-16
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,5692,2021-02-16
CITY OF GOLETA,1603,2021-02-16
COMMUNITY OF ISLA VISTA,1169,2021-02-16
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,1053,2021-02-16
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",909,2021-02-16
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,3256,2021-02-16
FEDERAL PRISON IN LOMPOC,1086,2021-02-16
CITY OF SANTA MARIA,10493,2021-02-16
COMMUNITY OF ORCUTT,1621,2021-02-16
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",1206,2021-02-16
Out of County,0,2021-02-16
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1238,2021-02-15
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,5681,2021-02-15
CITY OF GOLETA,1601,2021-02-15
COMMUNITY OF ISLA VISTA,1165,2021-02-15
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,1052,2021-02-15
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",908,2021-02-15
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,3250,2021-02-15
FEDERAL PRISON IN LOMPOC,1086,2021-02-15
CITY OF SANTA MARIA,10467,2021-02-15
COMMUNITY OF ORCUTT,1617,2021-02-15
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",1206,2021-02-15
Out of County,0,2021-02-15
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1238,2021-02-14
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,5659,2021-02-14
CITY OF GOLETA,1600,2021-02-14
COMMUNITY OF ISLA VISTA,1164,2021-02-14
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,1050,2021-02-14
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",900,2021-02-14
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,3241,2021-02-14
FEDERAL PRISON IN LOMPOC,1086,2021-02-14
CITY OF SANTA MARIA,10453,2021-02-14
COMMUNITY OF ORCUTT,1611,2021-02-14
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",1201,2021-02-14
Out of County,0,2021-02-14
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1236,2021-02-13
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,5632,2021-02-13
CITY OF GOLETA,1594,2021-02-13
COMMUNITY OF ISLA VISTA,1146,2021-02-13
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,1044,2021-02-13
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",895,2021-02-13
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,3230,2021-02-13
FEDERAL PRISON IN LOMPOC,1086,2021-02-13
CITY OF SANTA MARIA,10419,2021-02-13
COMMUNITY OF ORCUTT,1603,2021-02-13
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",1195,2021-02-13
Out of County,0,2021-02-13
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1228,2021-02-12
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,5603,2021-02-12
CITY OF GOLETA,1590,2021-02-12
COMMUNITY OF ISLA VISTA,1138,2021-02-12
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,1041,2021-02-12
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",893,2021-02-12
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,3209,2021-02-12
FEDERAL PRISON IN LOMPOC,1079,2021-02-12
CITY OF SANTA MARIA,10379,2021-02-12
COMMUNITY OF ORCUTT,1600,2021-02-12
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",1188,2021-02-12
Out of County,0,2021-02-12
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1225,2021-02-11
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,5576,2021-02-11
CITY OF GOLETA,1587,2021-02-11
COMMUNITY OF ISLA VISTA,1133,2021-02-11
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,1034,2021-02-11
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",887,2021-02-11
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,3193,2021-02-11
FEDERAL PRISON IN LOMPOC,1079,2021-02-11
CITY OF SANTA MARIA,10372,2021-02-11
COMMUNITY OF ORCUTT,1599,2021-02-11
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",1185,2021-02-11
Out of County,0,2021-02-11
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1211,2021-02-10
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,5541,2021-02-10
CITY OF GOLETA,1581,2021-02-10
COMMUNITY OF ISLA VISTA,1130,2021-02-10
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,1029,2021-02-10
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",880,2021-02-10
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,3177,2021-02-10
FEDERAL PRISON IN LOMPOC,1079,2021-02-10
CITY OF SANTA MARIA,10333,2021-02-10
COMMUNITY OF ORCUTT,1585,2021-02-10
